X,feature_types,gene_id,is_gene_coding
UBE2F,GEX,ENSG00000184182,1
SCLY,GEX,ENSG00000132330,1
ILKAP,GEX,ENSG00000132323,1
HES6,GEX,ENSG00000144485,1
PER2,GEX,ENSG00000132326,1
TRAF3IP1,GEX,ENSG00000204104,1
ASB1,GEX,ENSG00000065802,1
HDAC4,GEX,ENSG00000068024,1
HDAC4-AS1,GEX,ENSG00000222020,0
NDUFA10,GEX,ENSG00000130414,1
COPS9,GEX,ENSG00000172428,1
ANKMY1,GEX,ENSG00000144504,1
DUSP28,GEX,ENSG00000188542,1
RNPEPL1,GEX,ENSG00000142327,1
CAPN10,GEX,ENSG00000142330,1
GPR35,GEX,ENSG00000178623,1
SNED1,GEX,ENSG00000162804,1
AC005237.1,GEX,ENSG00000225521,0
MTERF4,GEX,ENSG00000122085,1
PASK,GEX,ENSG00000115687,1
PPP1R7,GEX,ENSG00000115685,1
HDLBP,GEX,ENSG00000115677,1
SEPTIN2,GEX,ENSG00000168385,1
FARP2,GEX,ENSG00000006607,1
STK25,GEX,ENSG00000115694,1
THAP4,GEX,ENSG00000176946,1
ATG4B,GEX,ENSG00000168397,1
DTYMK,GEX,ENSG00000168393,1
ING5,GEX,ENSG00000168395,1
D2HGDH,GEX,ENSG00000180902,1
LINC01237,GEX,ENSG00000233806,0
LINC01238,GEX,ENSG00000237940,0
IL5RA,GEX,ENSG00000091181,1
TRNT1,GEX,ENSG00000072756,1
CRBN,GEX,ENSG00000113851,1
AC034195.1,GEX,ENSG00000223727,0
SUMF1,GEX,ENSG00000144455,1
LRRN1,GEX,ENSG00000175928,1
AC023480.1,GEX,ENSG00000287720,0
SETMAR,GEX,ENSG00000170364,1
ITPR1,GEX,ENSG00000150995,1
AC018816.1,GEX,ENSG00000235978,0
BHLHE40-AS1,GEX,ENSG00000235831,0
BHLHE40,GEX,ENSG00000134107,1
ARL8B,GEX,ENSG00000134108,1
AC026202.2,GEX,ENSG00000233912,0
EDEM1,GEX,ENSG00000134109,1
AC069277.1,GEX,ENSG00000189229,0
LMCD1-AS1,GEX,ENSG00000227110,0
RAD18,GEX,ENSG00000070950,1
SRGAP3,GEX,ENSG00000196220,1
THUMPD3-AS1,GEX,ENSG00000206573,0
THUMPD3,GEX,ENSG00000134077,1
SETD5,GEX,ENSG00000168137,1
MTMR14,GEX,ENSG00000163719,1
BRPF1,GEX,ENSG00000156983,1
OGG1,GEX,ENSG00000114026,1
CAMK1,GEX,ENSG00000134072,1
TADA3,GEX,ENSG00000171148,1
ARPC4,GEX,ENSG00000241553,1
TTLL3,GEX,ENSG00000214021,1
RPUSD3,GEX,ENSG00000156990,1
JAGN1,GEX,ENSG00000171135,1
IL17RC,GEX,ENSG00000163702,1
CRELD1,GEX,ENSG00000163703,1
EMC3,GEX,ENSG00000125037,1
FANCD2,GEX,ENSG00000144554,1
BRK1,GEX,ENSG00000254999,1
VHL,GEX,ENSG00000134086,1
IRAK2,GEX,ENSG00000134070,1
TATDN2,GEX,ENSG00000157014,1
GHRLOS,GEX,ENSG00000240288,0
SEC13,GEX,ENSG00000157020,1
ATG7,GEX,ENSG00000197548,1
VGLL4,GEX,ENSG00000144560,1
TAMM41,GEX,ENSG00000144559,1
PPARG,GEX,ENSG00000132170,1
TSEN2,GEX,ENSG00000154743,1
MKRN2OS,GEX,ENSG00000225526,1
MKRN2,GEX,ENSG00000075975,1
RAF1,GEX,ENSG00000132155,1
CAND2,GEX,ENSG00000144712,1
RPL32,GEX,ENSG00000144713,1
IQSEC1,GEX,ENSG00000144711,1
NUP210,GEX,ENSG00000132182,1
HDAC11,GEX,ENSG00000163517,1
FBLN2,GEX,ENSG00000163520,1
WNT7A,GEX,ENSG00000154764,1
TMEM43,GEX,ENSG00000170876,1
AC093495.1,GEX,ENSG00000228242,0
XPC,GEX,ENSG00000154767,1
LSM3,GEX,ENSG00000170860,1
SLC6A6,GEX,ENSG00000131389,1
CCDC174,GEX,ENSG00000154781,1
C3orf20,GEX,ENSG00000131379,1
FGD5-AS1,GEX,ENSG00000225733,0
NR2C2,GEX,ENSG00000177463,1
MRPS25,GEX,ENSG00000131368,1
RBSN,GEX,ENSG00000131381,1
CAPN7,GEX,ENSG00000131375,1
SH3BP5-AS1,GEX,ENSG00000224660,0
SH3BP5,GEX,ENSG00000131370,1
METTL6,GEX,ENSG00000206562,1
EAF1,GEX,ENSG00000144597,1
EAF1-AS1,GEX,ENSG00000249786,0
COLQ,GEX,ENSG00000206561,1
HACL1,GEX,ENSG00000131373,1
BTD,GEX,ENSG00000169814,1
ANKRD28,GEX,ENSG00000206560,1
AC090945.1,GEX,ENSG00000287042,0
DPH3,GEX,ENSG00000154813,1
OXNAD1,GEX,ENSG00000154814,1
RFTN1,GEX,ENSG00000131378,1
AC090948.1,GEX,ENSG00000271964,0
AC090948.3,GEX,ENSG00000272529,0
AC090948.4,GEX,ENSG00000287377,0
PLCL2,GEX,ENSG00000154822,1
AC090644.1,GEX,ENSG00000285731,0
TBC1D5,GEX,ENSG00000131374,1
SATB1,GEX,ENSG00000182568,1
AC144521.1,GEX,ENSG00000272477,0
SATB1-AS1,GEX,ENSG00000228956,0
KCNH8,GEX,ENSG00000183960,1
AC061958.1,GEX,ENSG00000287069,0
RAB5A,GEX,ENSG00000144566,1
KAT2B,GEX,ENSG00000114166,1
SGO1,GEX,ENSG00000129810,1
SGO1-AS1,GEX,ENSG00000231304,0
ZNF385D,GEX,ENSG00000151789,1
UBE2E2,GEX,ENSG00000182247,1
UBE2E1,GEX,ENSG00000170142,1
NKIRAS1,GEX,ENSG00000197885,1
RPL15,GEX,ENSG00000174748,1
NR1D2,GEX,ENSG00000174738,1
THRB,GEX,ENSG00000151090,1
TOP2B,GEX,ENSG00000077097,1
NGLY1,GEX,ENSG00000151092,1
OXSM,GEX,ENSG00000151093,1
NEK10,GEX,ENSG00000163491,1
SLC4A7,GEX,ENSG00000033867,1
EOMES,GEX,ENSG00000163508,1
CMC1,GEX,ENSG00000187118,1
AZI2,GEX,ENSG00000163512,1
ZCWPW2,GEX,ENSG00000206559,1
RBMS3,GEX,ENSG00000144642,1
TGFBR2,GEX,ENSG00000163513,1
AC096921.2,GEX,ENSG00000261468,0
STT3B,GEX,ENSG00000163527,1
OSBPL10,GEX,ENSG00000144645,1
GPD1L,GEX,ENSG00000152642,1
CMTM8,GEX,ENSG00000170293,1
CMTM7,GEX,ENSG00000153551,1
CMTM6,GEX,ENSG00000091317,1
DYNC1LI1,GEX,ENSG00000144635,1
CNOT10,GEX,ENSG00000182973,1
CCR4,GEX,ENSG00000183813,1
GLB1,GEX,ENSG00000170266,1
CRTAP,GEX,ENSG00000170275,1
FBXL2,GEX,ENSG00000153558,1
UBP1,GEX,ENSG00000153560,1
CLASP2,GEX,ENSG00000163539,1
PDCD6IP,GEX,ENSG00000170248,1
LINC01811,GEX,ENSG00000226320,0
ARPP21,GEX,ENSG00000172995,1
STAC,GEX,ENSG00000144681,1
TRANK1,GEX,ENSG00000168016,1
EPM2AIP1,GEX,ENSG00000178567,1
MLH1,GEX,ENSG00000076242,1
LRRFIP2,GEX,ENSG00000093167,1
GOLGA4,GEX,ENSG00000144674,1
C3orf35,GEX,ENSG00000198590,0
ITGA9,GEX,ENSG00000144668,1
ITGA9-AS1,GEX,ENSG00000235257,0
CTDSPL,GEX,ENSG00000144677,1
VILL,GEX,ENSG00000136059,1
PLCD1,GEX,ENSG00000187091,1
DLEC1,GEX,ENSG00000008226,1
ACAA1,GEX,ENSG00000060971,1
MYD88,GEX,ENSG00000172936,1
OXSR1,GEX,ENSG00000172939,1
XYLB,GEX,ENSG00000093217,1
ACVR2B,GEX,ENSG00000114739,1
EXOG,GEX,ENSG00000157036,1
SCN11A,GEX,ENSG00000168356,1
WDR48,GEX,ENSG00000114742,1
GORASP1,GEX,ENSG00000114745,1
TTC21A,GEX,ENSG00000168026,1
CSRNP1,GEX,ENSG00000144655,1
CX3CR1,GEX,ENSG00000168329,1
AC104850.2,GEX,ENSG00000287780,0
SLC25A38,GEX,ENSG00000144659,1
RPSA,GEX,ENSG00000168028,1
MYRIP,GEX,ENSG00000170011,1
EIF1B-AS1,GEX,ENSG00000280739,0
EIF1B,GEX,ENSG00000114784,1
ENTPD3-AS1,GEX,ENSG00000223797,0
RPL14,GEX,ENSG00000188846,1
ZNF619,GEX,ENSG00000177873,1
ZNF620,GEX,ENSG00000177842,1
ZNF621,GEX,ENSG00000172888,1
CTNNB1,GEX,ENSG00000168036,1
ULK4,GEX,ENSG00000168038,1
TRAK1,GEX,ENSG00000182606,1
VIPR1,GEX,ENSG00000114812,1
SEC22C,GEX,ENSG00000093183,1
SS18L2,GEX,ENSG00000008324,1
NKTR,GEX,ENSG00000114857,1
AC006059.1,GEX,ENSG00000230084,0
POMGNT2,GEX,ENSG00000144647,1
SNRK,GEX,ENSG00000163788,1
ANO10,GEX,ENSG00000160746,1
ABHD5,GEX,ENSG00000011198,1
TCAIM,GEX,ENSG00000179152,1
ZNF445,GEX,ENSG00000185219,1
ZNF852,GEX,ENSG00000178917,1
ZKSCAN7,GEX,ENSG00000196345,1
ZKSCAN7-AS1,GEX,ENSG00000236869,0
ZNF660,GEX,ENSG00000144792,1
ZNF197,GEX,ENSG00000186448,1
ZNF35,GEX,ENSG00000169981,1
ZNF502,GEX,ENSG00000196653,1
KIAA1143,GEX,ENSG00000163807,1
KIF15,GEX,ENSG00000163808,1
TMEM42,GEX,ENSG00000169964,1
ZDHHC3,GEX,ENSG00000163812,1
EXOSC7,GEX,ENSG00000075914,1
CDCP1,GEX,ENSG00000163814,1
LARS2,GEX,ENSG00000011376,1
LIMD1,GEX,ENSG00000144791,1
LIMD1-AS1,GEX,ENSG00000230530,0
SACM1L,GEX,ENSG00000211456,1
LZTFL1,GEX,ENSG00000163818,1
FYCO1,GEX,ENSG00000163820,1
CCR1,GEX,ENSG00000163823,1
CCR2,GEX,ENSG00000121807,1
ALS2CL,GEX,ENSG00000178038,1
CCDC12,GEX,ENSG00000160799,1
NBEAL2,GEX,ENSG00000160796,1
SETD2,GEX,ENSG00000181555,1
KIF9-AS1,GEX,ENSG00000227398,0
KIF9,GEX,ENSG00000088727,1
KLHL18,GEX,ENSG00000114648,1
PTPN23,GEX,ENSG00000076201,1
SCAP,GEX,ENSG00000114650,1
ELP6,GEX,ENSG00000163832,1
SMARCC1,GEX,ENSG00000173473,1
DHX30,GEX,ENSG00000132153,1
MAP4,GEX,ENSG00000047849,1
CDC25A,GEX,ENSG00000164045,1
ZNF589,GEX,ENSG00000164048,1
NME6,GEX,ENSG00000172113,1
TMA7,GEX,ENSG00000232112,1
ATRIP,GEX,ENSG00000164053,1
SHISA5,GEX,ENSG00000164054,1
PFKFB4,GEX,ENSG00000114268,1
UQCRC1,GEX,ENSG00000010256,1
SLC26A6,GEX,ENSG00000225697,1
NCKIPSD,GEX,ENSG00000213672,1
IP6K2,GEX,ENSG00000068745,1
PRKAR2A,GEX,ENSG00000114302,1
SLC25A20,GEX,ENSG00000178537,1
ARIH2,GEX,ENSG00000177479,1
P4HTM,GEX,ENSG00000178467,1
WDR6,GEX,ENSG00000178252,1
DALRD3,GEX,ENSG00000178149,1
NDUFAF3,GEX,ENSG00000178057,1
IMPDH2,GEX,ENSG00000178035,1
QRICH1,GEX,ENSG00000198218,1
QARS,GEX,ENSG00000172053,1
USP19,GEX,ENSG00000172046,1
CCDC71,GEX,ENSG00000177352,1
C3orf62,GEX,ENSG00000188315,1
USP4,GEX,ENSG00000114316,1
RHOA,GEX,ENSG00000067560,1
TCTA,GEX,ENSG00000145022,1
AMT,GEX,ENSG00000145020,1
NICN1,GEX,ENSG00000145029,1
DAG1,GEX,ENSG00000173402,1
APEH,GEX,ENSG00000164062,1
MST1,GEX,ENSG00000173531,1
RNF123,GEX,ENSG00000164068,1
GMPPB,GEX,ENSG00000173540,1
IP6K1,GEX,ENSG00000176095,1
UBA7,GEX,ENSG00000182179,1
TRAIP,GEX,ENSG00000183763,1
MON1A,GEX,ENSG00000164077,1
RBM6,GEX,ENSG00000004534,1
RBM5,GEX,ENSG00000003756,1
GNAI2,GEX,ENSG00000114353,1
IFRD2,GEX,ENSG00000214706,1
NAA80,GEX,ENSG00000243477,1
TUSC2,GEX,ENSG00000114383,1
RASSF1,GEX,ENSG00000068028,1
NPRL2,GEX,ENSG00000114388,1
CYB561D2,GEX,ENSG00000114395,1
CACNA2D2,GEX,ENSG00000007402,1
HEMK1,GEX,ENSG00000114735,1
MAPKAPK3,GEX,ENSG00000114738,1
DOCK3,GEX,ENSG00000088538,1
MANF,GEX,ENSG00000145050,1
RBM15B,GEX,ENSG00000259956,1
DCAF1,GEX,ENSG00000145041,1
RAD54L2,GEX,ENSG00000164080,1
TEX264,GEX,ENSG00000164081,1
RRP9,GEX,ENSG00000114767,1
ABHD14B,GEX,ENSG00000114779,1
ACY1,GEX,ENSG00000243989,1
RPL29,GEX,ENSG00000162244,1
POC1A,GEX,ENSG00000164087,1
ALAS1,GEX,ENSG00000023330,1
TWF2,GEX,ENSG00000247596,1
PPM1M,GEX,ENSG00000164088,1
WDR82,GEX,ENSG00000164091,1
GLYCTK,GEX,ENSG00000168237,1
DNAH1,GEX,ENSG00000114841,1
BAP1,GEX,ENSG00000163930,1
PHF7,GEX,ENSG00000010318,1
NISCH,GEX,ENSG00000010322,1
STAB1,GEX,ENSG00000010327,1
NT5DC2,GEX,ENSG00000168268,1
SMIM4,GEX,ENSG00000168273,1
PBRM1,GEX,ENSG00000163939,1
GNL3,GEX,ENSG00000163938,1
GLT8D1,GEX,ENSG00000016864,1
SPCS1,GEX,ENSG00000114902,1
NEK4,GEX,ENSG00000114904,1
ITIH4,GEX,ENSG00000055955,1
MUSTN1,GEX,ENSG00000272573,1
STIMATE,GEX,ENSG00000213533,1
SFMBT1,GEX,ENSG00000163935,1
RFT1,GEX,ENSG00000163933,1
PRKCD,GEX,ENSG00000163932,1
TKT,GEX,ENSG00000163931,1
DCP1A,GEX,ENSG00000272886,1
CACNA1D,GEX,ENSG00000157388,1
ACTR8,GEX,ENSG00000113812,1
SELENOK,GEX,ENSG00000113811,1
CACNA2D3,GEX,ENSG00000157445,1
CCDC66,GEX,ENSG00000180376,1
TASOR,GEX,ENSG00000163946,1
ARHGEF3,GEX,ENSG00000163947,1
HESX1,GEX,ENSG00000163666,1
APPL1,GEX,ENSG00000157500,1
DNAH12,GEX,ENSG00000174844,1
PDE12,GEX,ENSG00000174840,1
ARF4,GEX,ENSG00000168374,1
DENND6A,GEX,ENSG00000174839,1
DENND6A-AS1,GEX,ENSG00000239801,0
SLMAP,GEX,ENSG00000163681,1
FLNB,GEX,ENSG00000136068,1
ABHD6,GEX,ENSG00000163686,1
RPP14,GEX,ENSG00000163684,1
PXK,GEX,ENSG00000168297,1
PDHB,GEX,ENSG00000168291,1
KCTD6,GEX,ENSG00000168301,1
C3orf67,GEX,ENSG00000163689,1
AC126121.3,GEX,ENSG00000243295,0
FHIT,GEX,ENSG00000189283,1
PTPRG,GEX,ENSG00000144724,1
THOC7,GEX,ENSG00000163634,1
AC104162.2,GEX,ENSG00000285399,0
ATXN7,GEX,ENSG00000163635,1
PSMD6-AS2,GEX,ENSG00000239653,0
PSMD6,GEX,ENSG00000163636,1
SLC25A26,GEX,ENSG00000144741,1
LRIG1,GEX,ENSG00000144749,1
KBTBD8,GEX,ENSG00000163376,1
SUCLG2,GEX,ENSG00000172340,1
SUCLG2-AS1,GEX,ENSG00000241316,0
TAFA1,GEX,ENSG00000183662,1
EOGT,GEX,ENSG00000163378,1
AC109587.1,GEX,ENSG00000244513,0
TMF1,GEX,ENSG00000144747,1
UBA3,GEX,ENSG00000144744,1
ARL6IP5,GEX,ENSG00000144746,1
FRMD4B,GEX,ENSG00000114541,1
MITF,GEX,ENSG00000187098,1
FOXP1,GEX,ENSG00000114861,1
FOXP1-AS1,GEX,ENSG00000244203,0
FOXP1-IT1,GEX,ENSG00000242094,0
AC097634.3,GEX,ENSG00000277855,0
AC097634.1,GEX,ENSG00000270562,0
EIF4E3,GEX,ENSG00000163412,1
PROK2,GEX,ENSG00000163421,1
LINC00877,GEX,ENSG00000241163,0
RYBP,GEX,ENSG00000163602,1
SHQ1,GEX,ENSG00000144736,1
GXYLT2,GEX,ENSG00000172986,1
PPP4R2,GEX,ENSG00000163605,1
EBLN2,GEX,ENSG00000255423,1
LINC02018,GEX,ENSG00000272690,0
ZNF717,GEX,ENSG00000227124,1
ROBO1,GEX,ENSG00000169855,1
GBE1,GEX,ENSG00000114480,1
CHMP2B,GEX,ENSG00000083937,1
CGGBP1,GEX,ENSG00000163320,1
ZNF654,GEX,ENSG00000175105,1
C3orf38,GEX,ENSG00000179021,1
ARL13B,GEX,ENSG00000169379,1
DHFR2,GEX,ENSG00000178700,1
NSUN3,GEX,ENSG00000178694,1
MTRNR2L12,GEX,ENSG00000269028,1
ARL6,GEX,ENSG00000113966,1
CRYBG3,GEX,ENSG00000080200,1
RIOX2,GEX,ENSG00000170854,1
CLDND1,GEX,ENSG00000080822,1
AC021660.4,GEX,ENSG00000286602,0
CPOX,GEX,ENSG00000080819,1
ST3GAL6,GEX,ENSG00000064225,1
DCBLD2,GEX,ENSG00000057019,1
CMSS1,GEX,ENSG00000184220,1
FILIP1L,GEX,ENSG00000168386,1
AC129803.1,GEX,ENSG00000287378,0
TBC1D23,GEX,ENSG00000036054,1
NIT2,GEX,ENSG00000114021,1
TOMM70,GEX,ENSG00000154174,1
LNP1,GEX,ENSG00000206535,1
TFG,GEX,ENSG00000114354,1
IMPG2,GEX,ENSG00000081148,1
SENP7,GEX,ENSG00000138468,1
TRMT10C,GEX,ENSG00000174173,1
PCNP,GEX,ENSG00000081154,1
ZBTB11,GEX,ENSG00000066422,1
ZBTB11-AS1,GEX,ENSG00000256628,0
RPL24,GEX,ENSG00000114391,1
AC084198.2,GEX,ENSG00000286699,0
CEP97,GEX,ENSG00000182504,1
NXPE3,GEX,ENSG00000144815,1
NFKBIZ,GEX,ENSG00000144802,1
ALCAM,GEX,ENSG00000170017,1
CBLB,GEX,ENSG00000114423,1
DUBR,GEX,ENSG00000243701,0
BBX,GEX,ENSG00000114439,1
AC012020.1,GEX,ENSG00000279277,0
CD47,GEX,ENSG00000196776,1
LINC01215,GEX,ENSG00000271856,0
IFT57,GEX,ENSG00000114446,1
CIP2A,GEX,ENSG00000163507,1
DZIP3,GEX,ENSG00000198919,1
TRAT1,GEX,ENSG00000163519,1
DPPA4,GEX,ENSG00000121570,1
NECTIN3,GEX,ENSG00000177707,1
CD96,GEX,ENSG00000153283,1
PLCXD2,GEX,ENSG00000240891,1
PHLDB2,GEX,ENSG00000144824,1
ABHD10,GEX,ENSG00000144827,1
C3orf52,GEX,ENSG00000114529,1
GCSAM,GEX,ENSG00000174500,1
CD200,GEX,ENSG00000091972,1
BTLA,GEX,ENSG00000186265,1
ATG3,GEX,ENSG00000144848,1
SLC35A5,GEX,ENSG00000138459,1
CD200R1,GEX,ENSG00000163606,1
GTPBP8,GEX,ENSG00000163607,1
NEPRO,GEX,ENSG00000163608,1
AC078785.1,GEX,ENSG00000240057,0
CFAP44,GEX,ENSG00000206530,1
SPICE1,GEX,ENSG00000163611,1
SIDT1,GEX,ENSG00000072858,1
USF3,GEX,ENSG00000176542,1
NAA50,GEX,ENSG00000121579,1
ATP6V1A,GEX,ENSG00000114573,1
GRAMD1C,GEX,ENSG00000178075,1
ZDHHC23,GEX,ENSG00000184307,1
CCDC191,GEX,ENSG00000163617,1
AC128687.3,GEX,ENSG00000287805,0
QTRT2,GEX,ENSG00000151576,1
AC093010.2,GEX,ENSG00000241490,0
TIGIT,GEX,ENSG00000181847,1
ZBTB20,GEX,ENSG00000181722,1
ZBTB20-AS1,GEX,ENSG00000241560,0
ZBTB20-AS5,GEX,ENSG00000242290,0
AC026341.1,GEX,ENSG00000242880,0
LSAMP,GEX,ENSG00000185565,1
B4GALT4,GEX,ENSG00000121578,1
B4GALT4-AS1,GEX,ENSG00000240254,0
ARHGAP31,GEX,ENSG00000031081,1
TMEM39A,GEX,ENSG00000176142,1
POGLUT1,GEX,ENSG00000163389,1
TIMMDC1,GEX,ENSG00000113845,1
COX17,GEX,ENSG00000138495,1
GSK3B,GEX,ENSG00000082701,1
AC092910.3,GEX,ENSG00000242622,0
LRRC58,GEX,ENSG00000163428,1
NDUFB4,GEX,ENSG00000065518,1
HGD,GEX,ENSG00000113924,1
RABL3,GEX,ENSG00000144840,1
GTF2E1,GEX,ENSG00000153767,1
POLQ,GEX,ENSG00000051341,1
HCLS1,GEX,ENSG00000180353,1
GOLGB1,GEX,ENSG00000173230,1
IQCB1,GEX,ENSG00000173226,1
EAF2,GEX,ENSG00000145088,1
SLC15A2,GEX,ENSG00000163406,1
CD86,GEX,ENSG00000114013,1
CSTA,GEX,ENSG00000121552,1
CCDC58,GEX,ENSG00000160124,1
FAM162A,GEX,ENSG00000114023,1
WDR5B,GEX,ENSG00000196981,1
AC083798.2,GEX,ENSG00000272758,0
KPNA1,GEX,ENSG00000114030,1
PARP9,GEX,ENSG00000138496,1
DTX3L,GEX,ENSG00000163840,1
PARP15,GEX,ENSG00000173200,1
PARP14,GEX,ENSG00000173193,1
HSPBAP1,GEX,ENSG00000169087,1
SLC49A4,GEX,ENSG00000138463,1
PDIA5,GEX,ENSG00000065485,1
SEC22A,GEX,ENSG00000121542,1
HACD2,GEX,ENSG00000206527,1
MYLK-AS1,GEX,ENSG00000239523,0
MYLK,GEX,ENSG00000065534,1
CCDC14,GEX,ENSG00000175455,1
KALRN,GEX,ENSG00000160145,1
UMPS,GEX,ENSG00000114491,1
ITGB5,GEX,ENSG00000082781,1
HEG1,GEX,ENSG00000173706,1
ZNF148,GEX,ENSG00000163848,1
SNX4,GEX,ENSG00000114520,1
OSBPL11,GEX,ENSG00000144909,1
AC092902.4,GEX,ENSG00000284624,0
LINC02614,GEX,ENSG00000241288,0
SLC41A3,GEX,ENSG00000114544,1
ZXDC,GEX,ENSG00000070476,1
TXNRD3,GEX,ENSG00000197763,1
CHCHD6,GEX,ENSG00000159685,1
PLXNA1,GEX,ENSG00000114554,1
TPRA1,GEX,ENSG00000163870,1
MCM2,GEX,ENSG00000073111,1
ABTB1,GEX,ENSG00000114626,1
MGLL,GEX,ENSG00000074416,1
KBTBD12,GEX,ENSG00000187715,1
SEC61A1,GEX,ENSG00000058262,1
RUVBL1,GEX,ENSG00000175792,1
EEFSEC,GEX,ENSG00000132394,1
GATA2,GEX,ENSG00000179348,1
RPN1,GEX,ENSG00000163902,1
RAB7A,GEX,ENSG00000075785,1
ACAD9,GEX,ENSG00000177646,1
KIAA1257,GEX,ENSG00000114656,1
EFCC1,GEX,ENSG00000114654,1
RAB43,GEX,ENSG00000172780,1
ISY1,GEX,ENSG00000240682,1
CNBP,GEX,ENSG00000169714,1
COPG1,GEX,ENSG00000181789,1
HMCES,GEX,ENSG00000183624,1
H1FX,GEX,ENSG00000184897,1
H1FX-AS1,GEX,ENSG00000206417,0
EFCAB12,GEX,ENSG00000172771,1
MBD4,GEX,ENSG00000129071,1
IFT122,GEX,ENSG00000163913,1
PLXND1,GEX,ENSG00000004399,1
TMCC1,GEX,ENSG00000172765,1
AC083799.1,GEX,ENSG00000203644,0
TMCC1-AS1,GEX,ENSG00000271270,0
ALG1L2,GEX,ENSG00000251287,1
LINC02021,GEX,ENSG00000249846,0
PIK3R4,GEX,ENSG00000196455,1
ATP2C1,GEX,ENSG00000017260,1
ASTE1,GEX,ENSG00000034533,1
NEK11,GEX,ENSG00000114670,1
AC010210.1,GEX,ENSG00000250608,0
NUDT16,GEX,ENSG00000198585,1
MRPL3,GEX,ENSG00000114686,1
ACPP,GEX,ENSG00000014257,1
DNAJC13,GEX,ENSG00000138246,1
ACAD11,GEX,ENSG00000240303,1
UBA5,GEX,ENSG00000081307,1
NPHP3,GEX,ENSG00000113971,1
CDV3,GEX,ENSG00000091527,1
TOPBP1,GEX,ENSG00000163781,1
SRPRB,GEX,ENSG00000144867,1
RAB6B,GEX,ENSG00000154917,1
RYK,GEX,ENSG00000163785,1
CEP63,GEX,ENSG00000182923,1
EPHB1,GEX,ENSG00000154928,1
PPP2R3A,GEX,ENSG00000073711,1
MSL2,GEX,ENSG00000174579,1
PCCB,GEX,ENSG00000114054,1
STAG1,GEX,ENSG00000118007,1
SLC35G2,GEX,ENSG00000168917,1
NCK1-DT,GEX,ENSG00000239213,0
NCK1,GEX,ENSG00000158092,1
IL20RB,GEX,ENSG00000174564,1
DBR1,GEX,ENSG00000138231,1
ARMC8,GEX,ENSG00000114098,1
NME9,GEX,ENSG00000181322,1
CEP70,GEX,ENSG00000114107,1
FAIM,GEX,ENSG00000158234,1
PIK3CB,GEX,ENSG00000051382,1
MRPS22,GEX,ENSG00000175110,1
COPB2,GEX,ENSG00000184432,1
AC046134.2,GEX,ENSG00000248932,0
NMNAT3,GEX,ENSG00000163864,1
SLC25A36,GEX,ENSG00000114120,1
PXYLP1,GEX,ENSG00000155893,1
ZBTB38,GEX,ENSG00000177311,1
RASA2,GEX,ENSG00000155903,1
RNF7,GEX,ENSG00000114125,1
GRK7,GEX,ENSG00000114124,1
ATP1B3,GEX,ENSG00000069849,1
TFDP2,GEX,ENSG00000114126,1
GK5,GEX,ENSG00000175066,1
XRN1,GEX,ENSG00000114127,1
ATR,GEX,ENSG00000175054,1
PLS1,GEX,ENSG00000120756,1
TRPC1,GEX,ENSG00000144935,1
PAQR9,GEX,ENSG00000188582,1
U2SURP,GEX,ENSG00000163714,1
CHST2,GEX,ENSG00000175040,1
AC018450.1,GEX,ENSG00000241679,0
SLC9A9,GEX,ENSG00000181804,1
DIPK2A,GEX,ENSG00000181744,1
PLOD2,GEX,ENSG00000152952,1
PLSCR4,GEX,ENSG00000114698,1
PLSCR1,GEX,ENSG00000188313,1
AC069410.1,GEX,ENSG00000285557,0
CPB1,GEX,ENSG00000153002,1
GYG1,GEX,ENSG00000163754,1
HLTF,GEX,ENSG00000071794,1
HPS3,GEX,ENSG00000163755,1
WWTR1,GEX,ENSG00000018408,1
COMMD2,GEX,ENSG00000114744,1
ANKUB1,GEX,ENSG00000206199,1
RNF13,GEX,ENSG00000082996,1
TSC22D2,GEX,ENSG00000196428,1
SERP1,GEX,ENSG00000120742,1
EIF2A,GEX,ENSG00000144895,1
SELENOT,GEX,ENSG00000198843,1
ERICH6,GEX,ENSG00000163645,1
ERICH6-AS1,GEX,ENSG00000240137,0
SIAH2,GEX,ENSG00000181788,1
SIAH2-AS1,GEX,ENSG00000244265,0
MED12L,GEX,ENSG00000144893,1
GPR171,GEX,ENSG00000174946,1
P2RY14,GEX,ENSG00000174944,1
P2RY13,GEX,ENSG00000181631,1
AC108718.1,GEX,ENSG00000239941,0
MBNL1,GEX,ENSG00000152601,1
MBNL1-AS1,GEX,ENSG00000229619,0
AC026347.1,GEX,ENSG00000243305,0
P2RY1,GEX,ENSG00000169860,1
RAP2B,GEX,ENSG00000181467,1
LINC02006,GEX,ENSG00000238755,0
DHX36,GEX,ENSG00000174953,1
MME,GEX,ENSG00000196549,1
C3orf33,GEX,ENSG00000174928,1
SLC33A1,GEX,ENSG00000169359,1
GMPS,GEX,ENSG00000163655,1
SSR3,GEX,ENSG00000114850,1
TIPARP,GEX,ENSG00000163659,1
LINC00886,GEX,ENSG00000240875,0
LEKR1,GEX,ENSG00000197980,1
CCNL1,GEX,ENSG00000163660,1
AC092944.1,GEX,ENSG00000243176,0
RSRC1,GEX,ENSG00000174891,1
MLF1,GEX,ENSG00000178053,1
GFM1,GEX,ENSG00000168827,1
LXN,GEX,ENSG00000079257,1
MFSD1,GEX,ENSG00000118855,1
